"Country","Year","Value","Destination"
"DOM",1982,5692000,"pop 17"
"ECU",1982,8658000,"pop 17"
"EGY",1982,42846000,"pop 17"
"SLV",1982,5082000,"pop 17"
"GNQ",1982,251000,"pop 17"
"ERI",1982,NA,"pop 17"
"EST",1982,1498000,"pop 17"
"ETH",1982,37334000,"pop 17"
"FJI",1982,666000,"pop 17"
"GIN",1982,NA,"pop 17"
"FIN",1982,4842000,"pop 17"
"FRA",1982,54335000,"pop 17"
"GAB",1982,781000,"pop 17"
"GMB",1982,647000,"pop 17"
"GEO",1982,NA,"pop 17"
"DEU",1982,76943000,"pop 17"
"GHA",1982,11097000,"pop 17"
"GRC",1982,9795000,"pop 17"
"GRD",1982,93000,"pop 17"
"GTM",1982,6724000,"pop 17"
"GNB",1982,790000,"pop 17"
"GUY",1982,758000,"pop 17"
"HTI",1982,6142000,"pop 17"
"HND",1982,3908000,"pop 17"
"HKG",1982,5260000,"pop 17"
"HUN",1982,10695000,"pop 17"
"ISL",1982,236000,"pop 17"
"IND",1982,711750000,"pop 17"
"IDN",1982,153379000,"pop 17"
"IRN",1982,42480000,"pop 17"
"IRQ",1982,NA,"pop 17"
"IRL",1982,3480000,"pop 17"
"ISR",1982,3885000,"pop 17"
"ITA",1982,56524000,"pop 17"
"JAM",1982,2185000,"pop 17"
"JPN",1982,118418000,"pop 17"
"JOR",1982,2409000,"pop 17"
"KAZ",1982,NA,"pop 17"
"KEN",1982,18328000,"pop 17"
"KIR",1982,60000,"pop 17"
"KOR",1982,39326000,"pop 17"
"UVK",1982,NA,"pop 17"
"KWT",1982,1497000,"pop 17"
"KGZ",1982,NA,"pop 17"
"LAO",1982,3376000,"pop 17"
"LVA",1982,2531000,"pop 17"
"LBN",1982,2640000,"pop 17"
"LSO",1982,1267000,"pop 17"
"LBR",1982,NA,"pop 17"
"LBY",1982,3330000,"pop 17"
"LTU",1982,3457000,"pop 17"
"LUX",1982,366000,"pop 17"
"MKD",1982,1812000,"pop 17"
"MDG",1982,9340000,"pop 17"
"MWI",1982,6923000,"pop 17"
"MYS",1982,14592000,"pop 17"
"MDV",1982,163000,"pop 17"
"MLI",1982,6768000,"pop 17"
"MLT",1982,321000,"pop 17"
"MHL",1982,NA,"pop 17"
"MRT",1982,NA,"pop 17"
"MUS",1982,993000,"pop 17"
"MEX",1982,70785000,"pop 17"
"FSM",1982,NA,"pop 17"
"MDA",1982,NA,"pop 17"
"MNG",1982,NA,"pop 17"
"MNE",1982,593000,"pop 17"
"MAR",1982,20354000,"pop 17"
"MOZ",1982,12750000,"pop 17"
"MMR",1982,NA,"pop 17"
"NAM",1982,NA,"pop 17"
"NPL",1982,15872000,"pop 17"
"NLD",1982,14313000,"pop 17"
"NZL",1982,3154000,"pop 17"
"NIC",1982,NA,"pop 17"
"NER",1982,6087000,"pop 17"
"NGA",1982,72318000,"pop 17"
"NOR",1982,4123000,"pop 17"
"OMN",1982,1470000,"pop 17"
"PAK",1982,87380000,"pop 17"
"PAN",1982,2044000,"pop 17"
