"UNU_Key","Year","Country","POM_kg","POM_pieces"
"0001","2005","SVN",2482170.05,80459.3209076175
"0001","2005","SWE",2027054.35,65706.7860615883
"0001","2006","BEL",15159754.3,491402.084278768
"0001","2006","BGR",4992306.05,161825.155591572
"0001","2006","CYP",784600,25432.7390599676
"0001","2006","ESP",23740390.45,769542.640194489
"0001","2006","EST",1238728.35,40153.2690437601
"0001","2006","FRA",14039939.2,455103.377633712
"0001","2006","GBR",71521623.95,2318367.06482982
"0001","2006","GRC",9292354.8,301210.852512156
"0001","2006","HRV",991064.45,32125.265802269
"0001","2006","HUN",6007964.95,194747.648298217
"0001","2006","IRL",2868949.7,92996.7487844408
"0001","2006","ITA",31421263.55,1018517.45705024
"0001","2006","LTU",3342108.35,108334.144246353
"0001","2006","LUX",736800,23883.3063209076
"0001","2006","LVA",1888145.3,61204.0615883306
"0001","2006","MLT",15800,512.155591572123
"0001","2006","NLD",56802.5500000007,1841.24959481356
"0001","2006","POL",12686663.2,411237.056726094
"0001","2006","PRT",3346369.3,108472.262560778
"0001","2006","ROU",27168917.35,880678.034035656
"0001","2006","SVN",2820371.85,91422.1021069692
"0001","2006","SWE",2341934.6,75913.6012965964
"0001","2007","BEL",14947003.85,484505.797406807
"0001","2007","BGR",4949246.15,160429.372771475
"0001","2007","CYP",906400,29380.8752025932
"0001","2007","ESP",25890864.85,839250.076175041
"0001","2007","EST",1150707.8,37300.0907617504
"0001","2007","GBR",65950195.8,2137769.71799028
"0001","2007","GRC",10580769.6,342974.703403566
"0001","2007","HRV",339322.7,10999.1150729335
"0001","2007","HUN",4330744.6,140380.700162075
"0001","2007","IRL",2551641.2,82711.2220421394
"0001","2007","ITA",26058616.05,844687.71636953
"0001","2007","LTU",1698044.85,55041.9724473258
"0001","2007","LUX",832600,26988.6547811993
"0001","2007","LVA",2020630.7,65498.5640194489
"0001","2007","MLT",9200,298.217179902755
"0001","2007","NLD",3086455.1,100047.166936791
"0001","2007","POL",8565596.4,277653.04376013
"0001","2007","PRT",3187042,103307.682333874
"0001","2007","ROU",37229763.65,1206799.47001621
"0001","2007","SVK",63989290.35,2074207.14262561
"0001","2007","SVN",1925268,62407.3905996758
"0001","2007","SWE",2151747.3,69748.6969205835
"0001","2008","BEL",15019500,486855.753646677
"0001","2008","BGR",3944881,127872.965964344
"0001","2008","CYP",881300,28567.2609400324
"0001","2008","DNK",1191309.55,38616.1928687196
"0001","2008","ESP",23127158.5,749664.781199352
"0001","2008","EST",552000,17893.0307941653
"0001","2008","FRA",24148762.5,782779.983792544
"0001","2008","GBR",63876461.45,2070549.80388979
"0001","2008","GRC",10337176.7,335078.661264181
"0001","2008","HRV",220978.15,7162.98703403564
"0001","2008","HUN",3730400.3,120920.593192869
"0001","2008","ITA",6231017.85000001,201977.888168558
"0001","2008","LTU",2377031.95,77051.2787682334
"0001","2008","LUX",1114000,36110.2106969206
"0001","2008","LVA",1137443.35,36870.1247974068
"0001","2008","MLT",15900,515.397082658023
"0001","2008","NLD",3539151.95,114721.294975689
"0001","2008","POL",7631861.45,247386.108589951
"0001","2008","PRT",2072792.2,67189.3743922204
"0001","2008","ROU",29720500,963387.358184765
"0001","2008","SVN",2057000,66677.471636953
"0001","2008","SWE",1267500,41085.8995137763
"0001","2009","BEL",13153200,426359.805510535
"0001","2009","BGR",2273993.1,73711.28363047
"0001","2009","CYP",902200,29244.7325769854
"0001","2009","DNK",1272990.3,41263.8670988655
"0001","2009","ESP",20527271.7,665389.682333873
"0001","2009","EST",315800,10236.6288492707
"0001","2009","FRA",26401793.25,855811.77471637
"0001","2009","GBR",56580520.75,1834052.53646677
"0001","2009","GRC",5518518.8,178882.294975689
"0001","2009","HUN",6459295.5,209377.487844408
"0001","2009","ITA",8222315.59999999,266525.627228525
"0001","2009","LTU",1060827.55,34386.6304700162
"0001","2009","LUX",804500,26077.7957860616
"0001","2009","LVA",433479.1,14051.1863857374
"0001","2009","MLT",13600,440.842787682334
"0001","2009","NLD",6996339.55,226785.722852512
"0001","2009","POL",6606620.2,214153.004862237
"0001","2009","PRT",4818555.95,156193.061588331
"0001","2009","ROU",16307342.95,528601.068071313
"0001","2009","SVN",2218100,71899.5137763371
"0001","2009","SWE",943300,30576.9854132901
"0001","2010","BEL",15253300,494434.35980551
"0001","2010","BGR",2135831.65,69232.7925445705
"0001","2010","CYP",576100,18674.2301458671
"0001","2010","DNK",1145912.9,37144.6645056726
"0001","2010","ESP",20560524.75,666467.576985413
"0001","2010","EST",309019,10016.8233387358
"0001","2010","FRA",19319999.65,626256.066450567
"0001","2010","GBR",66717246.2,2162633.58833063
"0001","2010","GRC",4692854.2,152118.450567261
"0001","2010","HRV",176875.05,5733.38897893032
"0001","2010","HUN",836035.7,27100.0226904376
"0001","2010","IRL",609969.4,19772.1037277148
"0001","2010","ITA",10836949.8,351278.761750406
"0001","2010","LTU",1363455.5,44196.2884927067
"0001","2010","LUX",534700,17332.2528363047
"0001","2010","LVA",584203.95,18936.9189627228
"0001","2010","MLT",6000,194.489465153971
"0001","2010","NLD",11096926.55,359705.884927066
"0001","2010","POL",5336204.8,172972.602917342
"0001","2010","PRT",5398201.3,174982.213938412
"0001","2010","ROU",21458785.9,695584.632090762
"0001","2010","SVN",2395478.25,77649.2139384117
"0001","2010","SWE",1007900,32670.9886547812
"0001","2011","BEL",20007800,648551.053484603
"0001","2011","BGR",2803255.1,90867.2641815235
"0001","2011","CYP",580000,18800.6482982172
"0001","2011","DNK",1691378.15,54825.8719611021
"0001","2011","ESP",17862814.85,579021.551053485
"0001","2011","EST",360498.75,11685.5348460292
"0001","2011","FRA",20579367.45,667078.361426256
"0001","2011","GBR",66543446.25,2156999.87844408
"0001","2011","GRC",6502442.95,210776.108589951
"0001","2011","HRV",625166.1,20264.7034035657
"0001","2011","HUN",1203433.75,39009.1977309562
"0001","2011","IRL",1276344.8,41372.602917342
"0001","2011","ITA",11030290.2,357545.873581847
"0001","2011","LTU",1271848.85,41226.8670988655
"0001","2011","LUX",565100,18317.6661264181
"0001","2011","LVA",615296.95,19944.7957860616
"0001","2011","MLT",29300,949.756888168557
"0001","2011","NLD",11608203.15,376278.870340357
"0001","2011","POL",4339661.75,140669.748784441
"0001","2011","PRT",3316600.75,107507.317666126
"0001","2011","ROU",20686872.65,670563.132901134
"0001","2011","SVN",1236003.5,40064.943273906
"0001","2011","SWE",1104100,35789.3030794165
"0001","2012","BEL",15217500,493273.905996758
"0001","2012","BGR",2801544.75,90811.8233387358
"0001","2012","CYP",318300,10317.6661264182
"0001","2012","DNK",2394067.4,77603.4813614262
"0001","2012","ESP",15750502.35,510551.129659643
"0001","2012","EST",673145.55,21819.9529983793
"0001","2012","FRA",27580333.1,894014.038897893
"0001","2012","GBR",62644522.25,2030616.60453809
"0001","2012","GRC",8227148.35,266682.280388979
"0001","2012","HRV",958486.2,31069.244732577
"0001","2012","ITA",12587965.45,408037.777957861
"0001","2012","LUX",632300,20495.9481361426
"0001","2012","LVA",773324.75,25067.2528363047
"0001","2012","MLT",17500,567.260940032415
"0001","2012","NLD",11985885.95,388521.424635332
"0001","2012","POL",3990237.75,129343.200972447
"0001","2012","PRT",1750304.85,56735.9756888169
"0001","2012","ROU",18347690.05,594738.737439222
"0001","2012","SVN",3071341.1,99557.2479740681
"0001","2012","SWE",864100,28009.7244732577
"0001","2013","BEL",13379100,433682.333873582
"0001","2013","BGR",2457015.7,79643.9448946515
"0001","2013","CYP",267300,8664.5056726094
"0001","2013","DNK",1395035,45219.9351701783
"0001","2013","ESP",18234657.65,591074.802269044
"0001","2013","EST",479022.05,15527.4570502431
"0001","2013","FRA",27679384.25,897224.773095624
"0001","2013","GBR",69108776,2240154.81361426
"0001","2013","GRC",3275397.15,106171.706645057
"0001","2013","HRV",133083.95,4313.90437601297
"0001","2013","ITA",6294487.59999999,204035.25445705
"0001","2013","LTU",554141.25,17962.4392220422
"0001","2013","LUX",804800,26087.5202593193
"0001","2013","LVA",536375.25,17386.5559157212
"0001","2013","MLT",12400,401.94489465154
"0001","2013","NLD",10739098.3,348106.914100486
"0001","2013","POL",5732848.5,185829.773095624
"0001","2013","PRT",1586567.95,51428.4586709886
"0001","2013","ROU",18181429.15,589349.405186386
"0001","2013","SVN",2654087.25,86032.0016207455
"0001","2013","SWE",878900,28489.4651539708
"0001","2014","BEL",10812600,350489.465153971
"0001","2014","BGR",1528806.05,49556.1118314425
"0001","2014","CYP",296300,9604.53808752026
"0001","2014","DNK",1310434.3,42477.6110210697
"0001","2014","ESP",14467630.85,468966.964343598
"0001","2014","EST",192976.3,6255.3095623987
"0001","2014","FRA",26860961.1,870695.659643436
"0001","2014","GBR",75576401.55,2449802.31928687
"0001","2014","GRC",1893991.4,61393.5623987034
"0001","2014","ITA",6588498.2,213565.58184765
"0001","2014","LTU",1578980.95,51182.5267423015
"0001","2014","LUX",753700,24431.1183144246
"0001","2014","LVA",1314580.65,42612.0145867099
"0001","2014","MLT",21300,690.437601296596
"0001","2014","NLD",8287483.9,268638.051863857
"0001","2014","POL",3677300.8,119199.377633711
"0001","2014","PRT",1032756.15,33476.698541329
"0001","2014","ROU",18113354.55,587142.773095624
"0001","2014","SVN",2232774.55,72375.188006483
"0001","2014","SWE",829300,26881.6855753647
"0001","2015","BEL",14791500,479465.153970827
"0001","2015","BGR",2117558.75,68640.4781199352
"0001","2015","CYP",394000,12771.4748784441
"0001","2015","DNK",2230361.1,72296.9562398703
"0001","2015","ESP",13685962.55,443629.256077796
"0001","2015","EST",436251.25,14141.0453808752
"0001","2015","FRA",28321701.25,918045.421393841
"0001","2015","GBR",75779437.55,2456383.71312804
"0001","2015","GRC",2017780.15,65406.1636952998
"0001","2015","ITA",25819576.45,836939.26904376
"0001","2015","LTU",1017612,32985.8022690438
"0001","2015","LUX",771600,25011.3452188006
"0001","2015","LVA",1870011.9,60616.2690437601
"0001","2015","MLT",38600,1251.21555915721
"0001","2015","NLD",6354027.2,205965.22528363
"0001","2015","POL",6308722.9,204496.690437601
"0001","2015","PRT",671205.85,21757.0777957861
"0001","2015","ROU",22906345.8,742507.157212318
"0001","2015","SVN",1626188.9,52712.7682333874
"0001","2015","SWE",4400,142.625607779577
"0002","1999","AUT",162900,9582.35294117647
"0002","1999","BEL",609800,35870.5882352941
"0002","1999","BGR",7400,435.294117647059
"0002","1999","CZE",25600,1505.88235294118
"0002","1999","DEU",474033416,27884318.5882353
"0002","1999","DNK",129647900,7626347.05882353
"0002","1999","ESP",55627967,3272233.35294118
"0002","1999","EST",8000,470.588235294118
"0002","1999","FIN",73100,4300
"0002","1999","FRA",72997760.1001512,4293985.88824419
"0002","1999","GBR",106129076.545344,6242886.85560846
"0002","1999","GRC",152500,8970.58823529412
"0002","1999","IRL",11400,670.588235294118
"0002","1999","ITA",1638655,96391.4705882353
"0002","1999","LTU",200,11.7647058823529
"0002","1999","LUX",2800,164.705882352941
"0002","1999","LVA",500,29.4117647058824
"0002","1999","NLD",836536196.735229,49208011.5726605
"0002","1999","PRT",16200,952.941176470589
"0002","1999","ROU",7500,441.176470588235
"0002","1999","SVN",26000,1529.41176470588
"0002","2000","BEL",93755128.5242094,5515007.56024761
"0002","2000","BGR",5400,317.647058823529
