"UNU_Key","Year","Country","POM_kg_new","POM_pieces_new","POM_kg_original","POM_Pieces_original","Reason"
"0108","2010","ITA",129340421,2584441,93495764,2229573,"Corrected with ratio PRT"
"0108","2011","ITA",102966870,2057452,87567026,2083860,"Corrected with ratio PRT"
"0108","2012","ITA",87165063,1741706,105498164,2558989,"Corrected with ratio PRT"
"0108","2013","ITA",101571655,2029574,101003366,2464213,"Corrected with ratio PRT"
"0108","2014","ITA",115005583,2298006,83891809,2039920,"Corrected with ratio PRT"
"0108","2015","ITA",120100111,2399804,103709641,2484390,"Corrected with ratio PRT"
"0108","1999","LTU",4879130,42938,NA,NA,"No data. Filled with ratio EST"
"0108","1999","ROU",21570905,387706,500,14.23,"Low outlier. Corrected with ratio EST"
"0108","2000","ROU",28551411,513171,800,22.45,"Low outlier. Corrected with ratio EST"
"0108","2001","ROU",30420508,546765,4000,110.62,"Low outlier. Corrected with ratio EST"
"0108","2002","ROU",29142656,523797,2548088,69487,"Low outlier. Corrected with ratio EST"
"0111","2005","AUT",5295224,198323,8459698.055,316842.6238,"High outlier. Corrected with ratio GBR"
"0111","2006","AUT",2256052,84496,12290113,460303.8577,"High outlier. Corrected with ratio GBR"
"0111","2007","AUT",2952531,110582,12513761.6,468680.2097,"High outlier. Corrected with ratio GBR"
"0111","2008","AUT",3655793,136921,15358969.7,575242.3109,"High outlier. Corrected with ratio GBR"
"0111","2009","AUT",2291512,85824,11905648.48,445904.4376,"High outlier. Corrected with ratio GBR"
"0111","2010","AUT",3091769,115797,8429552.2,315713.5655,"High outlier. Corrected with ratio GBR"
"0111","2001","BEL",1161430,43499,1804758.691,67593.95845,"High outlier. Corrected with ratio ITA"
"0111","2002","BEL",2052227,76862,2639447.856,98855.72495,"High outlier. Corrected with ratio NLD"
"0111","2003","BEL",3224895,120783,3449321.259,129188.0621,"High outlier. Corrected with ratio NLD"
"0111","2004","BEL",4890531,183166,4161839.332,155874.1323,"High outlier. Corrected with ratio NLD"
"0111","2005","BEL",6754400,252974,4884413.768,182936.8452,"High outlier. Corrected with ratio NLD"
"0111","2006","BEL",6345071,237643,5139772.21,192500.8318,"High outlier. Corrected with ratio NLD"
"0111","2007","BEL",8715993,326442,10105769.35,378493.2339,"High outlier. Corrected with ratio NLD"
"0111","2008","BEL",9155964,342920,15152059.05,567492.8482,"High outlier. Corrected with ratio NLD"
"0111","2007","EST",797731,29878,984902.0876,36887.71864,"High outlier. Corrected with ratio LVA"
"0111","2008","EST",662792,24824,1171200,43865.16854,"High outlier. Corrected with ratio LVA"
"0111","1997","GRC",1153640,43194,13640252,510870.8614,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","1998","GRC",1198711,44882,18394143.3,688919.2247,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","1999","GRC",2036602,76253,13867535.66,519383.3581,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2000","GRC",2880707,107858,9301262,348361.8727,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2001","GRC",6780707,253880,5321670.1,199313.4869,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2002","GRC",4774841,178777,29441.6,1102.681648,"Outlier detection with Feng. Corrected with ratio ITA"
"0111","2003","GRC",2758166,103270,2553047,95619.73783,"Outlier detection with Feng. Corrected with ratio ITA"
